codigo_pcd;id;nom_es;value;source;qualitative_value;notes;label_value
21404;3523;San Jorge;15.53;5;;1;15,53
21501;3524;San Rafael;36.28;5;;1;36,28
20701;3470;Palmares;3094.95;5;;1;3 094,95
20702;3471;Zaragoza;1216.25;5;;1;1 216,25
20703;3472;Buenos Aires;1336;5;;1;1 336
20704;3473;Santiago;443.35;5;;1;443,35
20705;3474;Candelaria;576.38;5;;1;576,38
20706;3475;Esquipulas;1618.88;5;;1;1 618,88
20707;3477;La Granja;1154.36;5;;1;1 154,36
20801;3476;San Pedro;591.45;5;;1;591,45
20802;3478;San Juan;548.17;5;;1;548,17
20803;3479;San Rafael;489.81;5;;1;489,81
20804;3480;Carrillos;1169.16;5;;1;1 169,16
20805;3481;Sabana Redonda;185.96;5;;1;185,96
20901;3482;Orotina;492.59;5;;1;492,59
20902;3483;El Mastate;253.84;5;;1;253,84
20903;3485;Hacienda Vieja;83.02;5;;1;83,02
20904;3484;Coyolar;225.4;5;;1;225,4
20905;3486;La Ceiba;47.24;5;;1;47,24
21001;3487;Quesada;352.63;5;;1;352,63
21002;3488;Florencia;95.15;5;;1;95,15
21003;3489;Buenavista;17.35;5;;1;17,35
21004;3490;Aguas Zarcas;162.39;5;;1;162,39
21005;3491;Venecia;151.63;5;;1;151,63
21006;3492;Pital;120.34;5;;1;120,34
21007;3493;La Fortuna;126.16;5;;1;126,16
21008;3494;La Tigra;158.1;5;;1;158,1
21009;3495;La Palmera;109.67;5;;1;109,67
21010;3496;Venado;12.78;5;;1;12,78
21011;3497;Cutris;25.22;5;;1;25,22
21012;3498;Monterrey;20.2;5;;1;20,2
21013;3499;Pocosol;32.74;5;;1;32,74
21101;3500;Zarcero;404.37;5;;1;404,37
21102;3501;Laguna;90.05;5;;1;90,05
21103;3503;Tapesco;256.6;5;;1;256,6
21104;3502;Guadalupe;66.28;5;;1;66,28
21105;3504;Palmira;108.01;5;;1;108,01
21106;3507;Zapote;22.18;5;;1;22,18
21107;3505;Brisas;178.05;5;;1;178,05
21201;3506;Sarchí Norte;590.59;5;;1;590,59
21202;3508;Sarchí Sur;1075.32;5;;1;1 075,32
21203;3509;Toro Amarillo;20.06;5;;1;20,06
21204;3510;San Pedro;530.71;5;;1;530,71
21205;3511;Rodríguez;408.16;5;;1;408,16
21502;3525;Buenavista;15.28;5;;1;15,28
21503;3526;Cote;11.9;5;;1;11,9
21504;3527;Katira;62.72;5;;1;62,72
21601;3528;Río Cuarto;72.32;5;;1;72,32
21602;3529;Santa Rita;135.34;5;;1;135,34
21603;3530;Santa Isabel;51.8;5;;1;51,8
30101;3531;Oriental;5658.46;5;;1;5 658,46
40102;3585;Mercedes;7393.58;5;;1;7 393,58
40103;3586;San Francisco;9367.99;5;;1;9 367,99
40104;3587;Ulloa;3201.59;5;;1;3 201,59
40105;3588;Varablanca;58.91;5;;1;58,91
40308;3602;Pará;1489.05;5;;1;1 489,05
40401;3604;Santa Bárbara;4832.45;5;;1;4 832,45
40402;3607;San Pedro;2842.85;5;;1;2 842,85
40403;3605;San Juan;2222.63;5;;1;2 222,63
40404;3606;Jesús;1106.6;5;;1;1 106,6
40405;3608;Santo Domingo;225.77;5;;1;225,77
40406;3609;Purabá;950.85;5;;1;950,85
60116;3707;Arancibia;22.09;5;;1;22,09
30102;3532;Occidental;5111.01;5;;1;5 111,01
30103;3533;Carmen;4416.29;5;;1;4 416,29
30104;3535;San Nicolás;1261.34;5;;1;1 261,34
30105;3534;Aguacaliente o San Francisco;944.53;5;;1;944,53
30106;3536;Guadalupe o Arenilla;1501.68;5;;1;1 501,68
30107;3537;Corralillo;361.47;5;;1;361,47
30108;3538;Tierra Blanca;570.96;5;;1;570,96
30109;3539;Dulce Nombre;489.56;5;;1;489,56
30110;3540;Llano Grande;210.72;5;;1;210,72
30111;3541;Quebradilla;338.01;5;;1;338,01
30201;3542;Paraíso;987.29;5;;1;987,29
30202;3543;Santiago;247.48;5;;1;247,48
30203;3544;Orosi;28.45;5;;1;28,45
30204;3545;Cachí;139.69;5;;1;139,69
30205;3546;Llanos de Santa Lucía;2939.83;5;;1;2 939,83
30206;3547;Birrisito;263.19;5;;1;263,19
30301;3548;Tres Ríos;3836.78;5;;1;3 836,78
30302;3549;San Diego;6939.06;5;;1;6 939,06
30303;3550;San Juan;3990.95;5;;1;3 990,95
30304;3551;San Rafael;2143.02;5;;1;2 143,02
30305;3552;Concepción;5135.29;5;;1;5 135,29
30306;3557;Dulce Nombre;1900.12;5;;1;1 900,12
30307;3553;San Ramón;1331.03;5;;1;1 331,03
30308;3555;Río Azul;9816.86;5;;1;9 816,86
30401;3556;Juan Viņas;181.44;5;;1;181,44
30402;3554;Tucurrique;163.38;5;;1;163,38
30403;3558;Pejibaye;29.87;5;;1;29,87
30404;3559;La Victoria;104.95;5;;1;104,95
30501;3560;Turrialba;437.77;5;;1;437,77
30502;3561;La Suiza;93.1;5;;1;93,1
30503;3562;Peralta;62.67;5;;1;62,67
30504;3563;Santa Cruz;61.75;5;;1;61,75
30505;3564;Santa Teresita;95.98;5;;1;95,98
30506;3565;Pavones;104.05;5;;1;104,05
30507;3566;Tuis;71.81;5;;1;71,81
30508;3567;Tayutic;34.55;5;;1;34,55
30509;3568;Santa Rosa;297.76;5;;1;297,76
30510;3569;Tres Equis;51.27;5;;1;51,27
30511;3570;La Isabel;296.67;5;;1;296,67
30512;3571;Chirripó;9.57;5;;1;9,57
30601;3572;Pacayas;219.16;5;;1;219,16
30602;3573;Cervantes;448.35;5;;1;448,35
30603;3574;Capellades;99.33;5;;1;99,33
30701;3576;San Rafael;2684.21;5;;1;2 684,21
30702;3575;Cot;765.08;5;;1;765,08
30703;3577;Potrero Cerrado;172.17;5;;1;172,17
30704;3578;Cipreses;448.45;5;;1;448,45
30705;3579;Santa Rosa;191.37;5;;1;191,37
30801;3580;El Tejar;4197.5;5;;1;4 197,5
30802;3581;San Isidro;318.56;5;;1;318,56
30803;3582;Tobosi;389.12;5;;1;389,12
30804;3583;Patio de Agua;41.77;5;;1;41,77
40101;3584;Heredia;6208.25;5;;1;6 208,25
40201;3589;Barva;5711.18;5;;1;5 711,18
40202;3590;San Pedro;3046.61;5;;1;3 046,61
40203;3591;San Pablo;1524.54;5;;1;1 524,54
40303;3598;San Miguel;1371.72;5;;1;1 371,72
40304;3599;Paracito;2297.17;5;;1;2 297,17
40305;3600;Santo Tomás;2280.66;5;;1;2 280,66
40306;3601;Santa Rosa;2202.88;5;;1;2 202,88
40307;3603;Tures;1166.92;5;;1;1 166,92
40204;3592;San Roque;4409.89;5;;1;4 409,89
40205;3594;Santa Lucía;3047.65;5;;1;3 047,65
40206;3593;San José de la Montaņa;285.48;5;;1;285,48
40207;3595;Puente Salas;1046.07;5;;1;1 046,07
40301;3597;Santo Domingo;6095.48;5;;1;6 095,48
40302;3596;San Vicente;2838.88;5;;1;2 838,88
40501;3610;San Rafael;7713.11;5;;1;7 713,11
50104;3634;Nacascolo;11.56;5;;1;11,56
50105;3636;Curubandé;45.39;5;;1;45,39
50201;3637;Nicoya;89.27;5;;1;89,27
50202;3638;Mansión;27.33;5;;1;27,33
50203;3639;San Antonio;24.01;5;;1;24,01
50204;3640;Quebrada Honda;25.8;5;;1;25,8
50205;3641;Sámara;48;5;;1;48
50206;3642;Nosara;65.03;5;;1;65,03
50207;3643;Belén de Nosarita;25.72;5;;1;25,72
50301;3644;Santa Cruz;119.75;5;;1;119,75
50302;3645;Bolsón;76.18;5;;1;76,18
50303;3646;Veintisiete de Abril;32.98;5;;1;32,98
50304;3647;Tempate;49.26;5;;1;49,26
50305;3648;Cartagena;74.47;5;;1;74,47
50306;3649;Cuajiniquil;13.74;5;;1;13,74
