codigo_pcd,nom_es,label_value
50807,Arenal,38.07
50808,Cabeceras,60.75
50901,Carmona,86.46
40702,La Ribera,1868.21
50902,Santa Rita,27.46
50903,Zapotal,11.61
50904,San Pablo,28.69
50905,Porvenir,18.29
50906,Bejuco,12.05
51001,La Cruz,61.47
51002,Santa Cecilia,48.11
51003,La Garita,13.5
51004,Santa Elena,55.69
51101,Hojancha,48.3
51102,Monte Romo,9.43
51103,Puerto Carrillo,25.33
51104,Huacas,23.76
40703,La Asunción,1659.64
40801,San Joaquín,2855.2
40802,Barrantes,1138.83
51105,Matambú,93.86
40803,Llorente,6452.18
40901,San Pablo,3413.2
60101,Puntarenas,546.09
60102,Pitahaya,31.66
60103,Chomes,63.38
60104,Lepanto,29.99
60105,Paquera,37.93
60106,Manzanillo,63.61
60107,Guacimal,11.69
60108,Barranca,1173.19
60111,Cóbano,37.6
60201,Espíritu Santo,1080.09
60202,San Juan Grande,215.36
60203,Macacona,169.09
60204,San Rafael,52.81
60205,San Jerónimo,21.38
60206,Caldera,70.64
60301,Buenos Aires,59.44
60302,Volcán,19.28
60303,Potrero Grande,10.28
60304,Boruca,23.92
60305,Pilas,13.64
60306,Colinas,9.52
60307,Chánguena,9.64
60308,Biolley,20.37
60309,Brunka,17.73
60401,Miramar,94.94
60402,La Unión,23.69
60403,San Isidro,74.47
60501,Puerto Cortés,44.21
60502,Palmar,34.69
60503,Sierpe,14.42
60504,Bahía Ballena,21.81
40902,Rincón de Sabanilla,4247.89
41001,Puerto Viejo,86.59
41002,La Virgen,47.37
41003,Las Horquetas,94.44
41004,Llanuras del Gaspar,81.68
41005,Cureņa,65.1
50101,Liberia,133.99
50102,Caņas Dulces,19.19
50103,Mayorga,14.32
60112,Chacarita,6094.49
60113,Chira,40.05
60114,Acapulco,14.88
60115,El Roble,3103.65
60505,Piedras Blancas,19.89
60506,Bahía Drake,16.38
60601,Quepos,121.09
60602,Savegre,20.54
60603,Naranjito,39.51
60701,Golfito,57.03
60703,Guaycará,40.67
60704,Pavón,22.55
60801,San Vito,128.18
60802,Sabalito,91.59
60803,Aguabuena,99.47
60804,Limoncito,30.66
60805,Pittier,16.34
60806,Gutiérrez Braun,18.36
60901,Parrita,48.13
61001,Corredor,67.87
61002,La Cuesta,151.51
61003,Canoas,135.36
61004,Laurel,67.32
61101,Jacó,142.8
61102,Tárcoles,109.98
61103,Lagunillas,32.51
61201,Monteverde,107.19
61301,Puerto Jiménez,69.57
70101,Limón,1005.43
70102,Valle La Estrella,24.23
70103,Río Blanco,79.99
70104,Matama,37.99
70201,Guápiles,353.9
70202,Jiménez,172.77
70203,Rita,69.15
70204,Roxana,123.4
70205,Cariari,203.34
70206,Colorado,81.76
70207,La Colonia,186.86
70301,Siquirres,142.19
70302,Pacuarito,70.32
70303,Florida,45.58
70304,Germania,91.5
70305,El Cairo,71.44
70306,Alegría,184.56
70307,Reventazón,24.75
70401,Bratsi,67.47
70402,Sixaola,71.11
70403,Cahuita,78.81
70404,Telire,14.41
70501,Matina,26.55
70502,Batán,125.32
70503,Carrandí,78.91
70601,Guácimo,166.94
70602,Mercedes,36.58
70603,Pocora,128.5
70604,Río Jiménez,38.56
70605,Duacarí,102.21
