codigo_pcd,nom_es,label_value
60501,Puerto Cortés,8554
60502,Palmar,8691
60503,Sierpe,3517
60504,Bahía Ballena,3339
40902,Rincón de Sabanilla,10237
41001,Puerto Viejo,35502
41002,La Virgen,18463
41003,Las Horquetas,40030
41004,Llanuras del Gaspar,2375
41005,Cureņa,1849
50101,Liberia,69499
50102,Caņas Dulces,4244
50103,Mayorga,2079
60112,Chacarita,22279
60113,Chira,1683
60114,Acapulco,1630
60115,El Roble,22621
60505,Piedras Blancas,4183
60506,Bahía Drake,1141
60601,Quepos,26973
60602,Savegre,4189
60603,Naranjito,4162
60701,Golfito,10845
60703,Guaycará,13137
60704,Pavón,7967
60801,San Vito,9456
60802,Sabalito,11047
60803,Aguabuena,6355
60804,Limoncito,3791
60805,Pittier,2851
60806,Gutiérrez Braun,1880
60901,Parrita,22818
61001,Corredor,18711
61002,La Cuesta,5618
61003,Canoas,16517
61004,Laurel,12713
61101,Jacó,19840
61102,Tárcoles,7005
61103,Lagunillas,2585
61201,Monteverde,4859
61301,Puerto Jiménez,14252
70101,Limón,52756
70102,Valle La Estrella,20195
70103,Río Blanco,10461
70104,Matama,8370
70201,Guápiles,41681
70202,Jiménez,13155
70203,Rita,29468
70204,Roxana,20401
70205,Cariari,40187
70206,Colorado,5091
70207,La Colonia,7248
70301,Siquirres,21298
70302,Pacuarito,10738
70303,Florida,2683
70304,Germania,3107
70305,El Cairo,7641
70306,Alegría,7022
70307,Reventazón,4668
70401,Bratsi,11408
70402,Sixaola,11026
70403,Cahuita,15129
70404,Telire,9093
70501,Matina,9254
70502,Batán,20303
70503,Carrandí,16116
70601,Guácimo,27939
70602,Mercedes,2433
70603,Pocora,8708
70604,Río Jiménez,12009
70605,Duacarí,8291
